paramID,param_value,simulationID
seed_true_maxTi_0,5,1
seed_true_firstTi_0,6,1
seed_true_delayTi_0,10,1
seed_true_delayB_0,3,1
seed_true_delayRC_0,1000,1
seed_true_delaySB_0,1000,1
seed_true_firstB_0,1,1
seed_true_firstSB_0,1000,1
seed_true_maxB_0,15,1
seed_true_nC_0,0,1
seed_true_nz_0,0,1
seed_true_seedPos.x_0,0,1
seed_true_seedPos.y_0,0,1
seed_true_seedPos.z_0,-0.3,1
seed_true_simulationTime_0,240,1
root_taproot_la_1,0,1
root_taproot_lb_1,0,1
root_taproot_ln_1,10,1
root_taproot_lmax_1,10,1
root_taproot_r_1,0,1
root_taproot_a_1,0.05,1
root_taproot_tropismT_1,1,1
root_taproot_tropismN_1,0.5,1
root_taproot_tropismS_1,0.261799,1
root_taproot_dx_1,1,1
root_taproot_dxMin_1,1,1
root_taproot_theta_1,0.4,1
root_taproot_rlt_1,1000000000,1
root_taproot_gf_1,3,1
stem_mainstem_lb_1,0.,1
stem_mainstem_la_1,0,1
stem_mainstem_ln_1,10,1
stem_mainstem_lmax_1,100,1
stem_mainstem_r_1,5,1
stem_mainstem_delayNGStart_1,4,1
stem_mainstem_delayNGEnd_1,24,1
stem_mainstem_delayLat_1,10,1
stem_mainstem_nodalGrowth_1,0,1
stem_mainstem_a_1,0.15,1
stem_mainstem_tropismT_1,1,1
stem_mainstem_tropismN_1,0,1
stem_mainstem_tropismS_1,0.01,1
stem_mainstem_dx_1,9,1
stem_mainstem_dxMin_1,2,1
stem_mainstem_theta_1,0.1,1
stem_mainstem_rlt_1,1000000000,1
stem_mainstem_gf_1,3,1
stem_mainstem_successor_1,NA,1
leaf_lateral1_lb_1,8,1
leaf_lateral1_la_1,35,1
leaf_lateral1_ln_1,0,1
leaf_lateral1_lmax_1,43,1
leaf_lateral1_r_1,4,1
leaf_lateral1_a_1,0.1,1
leaf_lateral1_Width_petiole_1,0.5,1
leaf_lateral1_Width_blade_1,0.5,1
leaf_lateral1_shapeType_1,2,1
leaf_lateral1_tropismT_1,1,1
leaf_lateral1_tropismN_1,9.81,1
leaf_lateral1_tropismS_1,0.1,1
leaf_lateral1_dx_1,2,1
leaf_lateral1_dxMin_1,1,1
leaf_lateral1_theta_1,0.1,1
leaf_lateral1_rlt_1,1000000000.0,1
leaf_lateral1_gf_1,3,1
leaf_lateral1_areaMax_1,50,1
leaf_lateral1_geometryN_1,100,1
leaf_lateral1_parametrisationType_1,1.0,1
leaf_lateral1_leafGeometry_1,NA,1
field_field_simtime_0,120,1
field_field_N_row_0,6,1
field_field_N_col_0,3,1
field_field_N_plots_0,2,1
field_field_dist_col_0,25,1
field_field_dist_row_0,25,1
field_field_dist_plot_0,115,1
